Game,Rollout depth,Turn limit,Time limit,Frameskip,Score,Normscore
air_raid,1175,3000,0.51,1,1075,0.14492753623188406
air_raid,1250,3000,0.82,1,1475,0.37681159420289856
air_raid,2079,3000,0.73,1,825,0
air_raid,222,3000,0.41,1,2550,1
air_raid,641,3000,0.99,1,2050,0.7101449275362319
alien,104,3000,0.46,1,290,0.6
alien,1572,3000,0.76,1,370,1
alien,2221,3000,0.86,1,240,0.35
alien,2259,3000,0.24,1,170,0
alien,2590,3000,0.49,1,250,0.4
amidar,1272,3000,0.11,1,0,0
amidar,1588,3000,0.33,1,5,0.5
amidar,1610,3000,0.35,1,10,1
amidar,2457,3000,0.26,1,0,0
amidar,2550,3000,0.52,1,5,0.5
assault,1037,3000,0.07,1,273,0.17391304347826086
assault,1109,3000,0.06,1,210,0.043478260869565216
assault,2248,3000,0.25,1,525,0.6956521739130435
assault,478,3000,0.07,1,189,0
assault,987,3000,0.48,1,672,1
asterix,1790,3000,0.51,1,1400,0.8064516129032258
asterix,2001,3000,0.75,1,1700,1
asterix,2977,3000,0.19,1,400,0.16129032258064516
asterix,650,3000,0.15,1,600,0.2903225806451613
asterix,869,3000,0.07,1,150,0
asteroids,1490,3000,0.09,1,20,0
asteroids,1665,3000,0.8,1,1700,0.45901639344262296
asteroids,243,3000,0.4,1,3390,0.9207650273224044
asteroids,412,3000,0.13,1,3680,1
asteroids,637,3000,0.2,1,2050,0.5546448087431693
atlantis2,1049,3000,0.23,1,137,0
atlantis2,1534,3000,0.41,1,166,0.2230769230769231
atlantis2,1957,3000,0.33,1,139,0.015384615384615385
atlantis2,518,3000,0.86,1,267,1
atlantis2,698,3000,0.4,1,239,0.7846153846153846
atlantis,1251,3000,0.95,1,15500,1
atlantis,2644,3000,0.96,1,13500,0.8165137614678899
atlantis,583,3000,0.07,1,7400,0.25688073394495414
atlantis,717,3000,0.46,1,13700,0.8348623853211009
atlantis,967,3000,0.06,1,4600,0
bank_heist,1363,3000,0.09,1,0,0
bank_heist,2148,3000,0.68,1,10,0.16666666666666666
bank_heist,2293,3000,0.98,1,10,0.16666666666666666
bank_heist,2804,3000,0.14,1,0,0
bank_heist,854,3000,0.86,1,60,1
basic_math,1144,3000,0.2,1,0,0
basic_math,1661,3000,0.51,1,2,0.6666666666666666
basic_math,2356,3000,0.07,1,0,0
basic_math,2848,3000,0.9,1,1,0.3333333333333333
basic_math,76,3000,0.36,1,3,1
battle_zone,1311,3000,0.43,1,2000,0.4
battle_zone,1645,3000,0.79,1,5000,1
battle_zone,2144,3000,0.03,1,0,0
battle_zone,2445,3000,0.69,1,2000,0.4
battle_zone,2823,3000,0.09,1,0,0
beam_rider,1051,3000,0.55,1,220,0.3333333333333333
beam_rider,1106,3000,0.7,1,220,0.3333333333333333
beam_rider,2563,3000,0.49,1,0,0
beam_rider,2997,3000,0.92,1,396,0.6
beam_rider,81,3000,0.91,1,660,1
berzerk,1701,3000,0.3,1,560,0.045454545454545456
berzerk,1727,3000,0.24,1,550,0
berzerk,2515,3000,0.32,1,600,0.22727272727272727
berzerk,2764,3000,0.65,1,550,0
berzerk,642,3000,0.12,1,770,1
blackjack,1287,3000,0.42,1,-40,0
blackjack,1561,3000,0.34,1,-36,0.1
blackjack,2280,3000,0.86,1,-22,0.45
blackjack,510,3000,0.04,1,0,1
blackjack,927,3000,0.11,1,0,1
bowling,1792,3000,0.39,1,19,1
bowling,2140,3000,0.11,1,0,0
bowling,417,3000,0.96,1,0,0
bowling,464,3000,0.32,1,13,0.6842105263157895
bowling,659,3000,0.64,1,0,0
boxing,1363,3000,0.56,1,-17,0.41935483870967744
boxing,1478,3000,0.32,1,-30,0
boxing,2181,3000,0.87,1,1,1
boxing,2370,3000,0.93,1,0,0.967741935483871
boxing,815,3000,0.4,1,-3,0.8709677419354839
breakout,1127,3000,0.69,1,24,0.20238095238095238
breakout,1669,3000,0.8,1,56,0.5833333333333334
breakout,2425,3000,0.78,1,26,0.2261904761904762
breakout,2676,3000,0.43,1,91,1
breakout,276,3000,0.21,1,7,0
carnival,111,3000,0.35,1,3730,0.7857142857142857
carnival,1199,3000,0.41,1,3940,0.8374384236453202
carnival,2031,3000,0.51,1,540,0
carnival,2133,3000,0.75,1,4600,1
carnival,956,3000,0.4,1,4540,0.9852216748768473
casino,142,3000,0.43,1,0,0.2571428571428571
casino,1552,3000,0.52,1,480,0.6
casino,1731,3000,0.49,1,-140,0.15714285714285714
casino,2767,3000,0.63,1,-360,0
casino,974,3000,0.75,1,1040,1
centipede,1015,3000,0.45,1,2301,0.24537037037037038
centipede,1362,3000,0.75,1,2399,0.27205882352941174
centipede,1766,3000,0.33,1,1400,0
centipede,300,3000,0.59,1,5072,1
centipede,868,3000,0.39,1,1999,0.16312636165577343
chopper_command,1267,3000,0.59,1,300,0.3333333333333333
chopper_command,1554,3000,0.31,1,0,0
